MES_FEMINICIDIO,CEM,VICTIMA_EDAD,VICTIMA_NRO_HIJOS,VICTIMA_EMBARAZO,DPTO_OCURRIO,PROV_OCURRIO,DIST_OCURRIO,ZONA_OCURRIO,AGRESOR_EDAD,ALCOHOL_DROGAS,VINCULO,AGRESOR_TRABAJA,ACUCHILLAMIENTO,GOLPES_DIVERSOS,DISPARO_BALA,ENVENENAMIENTO,DESBARRANCAMIENTO,ASFIXIA_ESTRAGULAMIENTO,ATROPELLAMIENTO,QUEMADURA,OTRO,LUGAR_DEL_FEMINICIDIO,MEDIDAS_TOMO_PROTECCION,SITUACION_DEL_AGRESOR
8,COMISARIA ICA,33,0,0,ICA,ICA,ICA,1,33,0,CONVIVIENTE,1,1, , , , , , , , ,9,1,4
8,PACHITEA,27,1,0,HUANUCO,PACHITEA,PANAO,2, , ,ENAMORADO, , , ,1, , , , , , ,1,1,6
9,COMISARIA LAMBAYEQUE,18,0,0,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,1,20, ,ENAMORADO,1,1, , , , , , , , ,8,1,4
9,COMISARIA DE FAMILIA JOSE LEONARDO ORTIZ,16,0,0,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,1,21,0,ENAMORADO,1, , , ,1, , , , , ,2,1,1
9,PUCALLPA,38,4,0,UCAYALI,CORONEL PORTILLO,CALLERA,1,59,1,EX CONVIVIENTE,1, , ,1, , , , , , ,9,1,1
9,TARAPOTO,23,3,0,SAN MARTIN,SAN MARTIN,SAN ANTONIO DE CUMBAZA,2,27,1,CONVIVIENTE,1, , , , , ,1, , , ,4,1,1
9,GENERAL SANCHEZ CERRO,14,0,0,MOQUEGUA,SANCHEZ CERRO,PUQUINA,2,22,0,ENAMORADO, , , , , , , , , , ,5,8,2
9,LA MOLINA,29,0,0,LIMA,LIMA,SANTA ANITA,1, , ,DESCONOCIDO, , , , , , ,1, , , ,9,1,6
9,COMISARIA AMARILIS,27,1,0,HUANUCO,HUANUCO,HUANUCO,1,26,0,EX ENAMORADO,1, ,1, , , , , , , ,2,2,1
10,MOHO,27,2,0,PUNO,MOHO,HUAYRAPATA,2,37,1,CONVIVIENTE,1, , , , , , , , ,1,9,1,1
10,EL AGUSTINO,27,2,0,LIMA,LIMA,EL AGUSTINO,1,29,1,CONVIVIENTE,0, , , , , ,1, , , ,1,2,2
10,HUANCANE,69,0,0,PUNO,HUANCANE,COJATA,3,23,0,VECINO,0, , , , , ,1, , , ,1,9,1
10,CALLAO,70,0,0,CALLAO,CALLAO,CALLAO,1, ,0,DESCONOCIDO,0, , , , , , , , ,1,9,1,6
10,QUILLABAMBA,33,3,0,CUSCO,LA CONVENCION,SANTA ANA,1,49,1,CONVIVIENTE,1, ,1, , , ,1, , , ,3,1,2
10,HUAYLAS,17,0,0,ANCASH,HUAYLAS,CARAZ,2,16,1,PAREJA SEXUAL,0, ,1, , , , , , , ,5,1,6
10,IMPERIAL,33,2,0,LIMA,CAÑETE,NUEVO IMPERIAL,1,35,0,ESPOSO,1, , , , , ,1, , , ,1,1,2
10,CAJABAMBA,43,1,0,CAJAMARCA,CAJABAMBA,CAJABAMBA,2,41,0,EX CONVIVIENTE,1, , , , , , , , , ,9,2,2
10,CABALLO COCHA,14,0,0,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,1,20,1,AMIGO,1, , , , , , , , ,1,5,1,1
10,COMISARIA GREGORIO ALBARRACIN,55,0,0,TACNA,TACNA,GREGORIO ALBARRACIN LANCHIPA,1,62,0,CONVIVIENTE,0, , , , , , , , ,1,1,2,4
10,MIRAFLORES,47,1,0,AREQUIPA,AREQUIPA,YANAHUARA,1,48,0,ESPOSO,1,1, , , , ,1, , , ,1,2,5
10,NAPO,52,4,0,LORETO,MAYNAS,TORRES CAUSANA,1,32,1,OTRO,1, , , , , , , , ,1,9,1,1
10,HUANUCO,5,0,0,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,2,23,0,OTRO,0,1, , , , ,1, , , ,9,9,2
11,COMISARIA EL TRIUNFO,28,2,0,AREQUIPA,AREQUIPA,LA JOYA,2,35,0,ENAMORADO,1,1,1, , , , , , , ,9,2,1
11,MELGAR,17,0,0,PUNO,MELGAR,AYAVIRI,2,17, ,DESCONOCIDO, , , , , , , , , , ,9,9,2
